"id","name","topo","hydro","muid","lu_mgt","soil_plant_init","surf_stor","snow","field","hyd_grp","area_ha","slp"
"    2772","hru2772","topohru2772","           hyd2772",172205,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.21,0.00748
"    2773","hru2773","topohru2773","           hyd2773",172151,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",0.02,0
"    2774","hru2774","topohru2774","           hyd2774",172145,"         urml_lum","       soilplant1","             null","          snow001","             null","B",0.42,0
"    2775","hru2775","topohru2775","           hyd2775",172205,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.08,0
"    2776","hru2776","topohru2776","           hyd2776",172145,"         past_lum","       soilplant1","             null","          snow001","             null","B",0.06,0
"    2777","hru2777","topohru2777","           hyd2777",172205,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.15,0
"    2778","hru2778","topohru2778","           hyd2778",172151,"         past_lum","       soilplant1","             null","          snow001","             null","B",0.03,0
"    2779","hru2779","topohru2779","           hyd2779",172145,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",0.62,0.17476
"    2780","hru2780","topohru2780","           hyd2780",172151,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",0.97,0.07499
"    2781","hru2781","topohru2781","           hyd2781",172193,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.08,0.0814
"    2782","hru2782","topohru2782","           hyd2782",172205,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.62,0.15897
"    2783","hru2783","topohru2783","           hyd2783",172113,"         frsd_lum","       soilplant1","             null","          snow001","             null","A",0.31,0.01582
"    2784","hru2784","topohru2784","           hyd2784",172151,"         past_lum","       soilplant1","             null","          snow001","             null","B",0.03,0.00667
"    2785","hru2785","topohru2785","           hyd2785",172193,"     SC_NT_tile_B","    soilnut_30-40","             null","          snow001","             null","C",0.04,0
"    2786","hru2786","topohru2786","           hyd2786",172151,"     SC_NT_tile_B","    soilnut_80-90","             null","          snow001","             null","B",0.01,0
"    2787","hru2787","topohru2787","           hyd2787",172145,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",5.04,0.0061
"    2788","hru2788","topohru2788","           hyd2788",172205,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.58,0.01896
